ACTIVE U.S. SKI AREAS - 2025-26,,CORE STATS,,,CLASSIFICATION (Current year totals),,PASS AFFILIATIONS,RECENT OPERATING HISTORY,,,,LIFT FLEETS,,,,,,,,,,,,,,,,,,
,,Avg.,Total,Avg.,Public w/Aerial Lifts Total,370,,Annual Totals,,,,National Totals,,,,,,,,,,,,,,,,,,
,,963,"244,141",164,Public - Surface Lifts Only Total,92,,491,499,509,324,12,50,6,3,5,112,6,382,406,505,2,524,2,91,7,59,389,633,3192
,,,,,Private w/Aerial Lifts Total,19,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Private - Surface Lifts Only Total,22,,,,,,,,,,,,,,,,,,,,,,,,
LOCATION,MOUNTAIN,"Lift-Served Vertical 
Drop (feet)","Lift-Served 
Skiable Acres","Average Annual Snow
(claimed, inches)","OPERATING
CLASS",OWNER,PASS AFFILIATIONS,"OPERATED
23/24?","OPERATED
24/25?","ANTICIPATE
OPERATING
25/26?","CONFIRMED
OPERATING
25/26?",Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,TOTAL LIFTS
,Kingvale,150,50,25,Public - Surface Lifts Only,Independent,California Gold Pass,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,1,,1
,Kirkwood,"2,000","2,300",354,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Tahoe Local, Epic Tahoe Value, Epic Day All, Epic Day 32, California Gold Pass",Yes,Yes,Yes,Yes,0,,,,,,,2,1,6,,1,,1,,,,2,13
,Mammoth,"3,100","3,500",357,Public w/Aerial Lifts,Alterra ,"Ikon, Ikon Base, Ikon Session, California Gold Pass",Yes,Yes,Yes,Yes,0,2,,,,4,,8,1,6,,3,,,,1,,2,27
,Mountain  High: West,"1,000",145,117,Public w/Aerial Lifts,California Mountain Resort Company,"Indy, Indy+, Powder Alliance, Cali Pass, California Gold Pass",Yes,Yes,Yes,Yes,0,,,,,,,1,,3,,2,,,,,,2,8
,Mountain High: East,"1,600",145,117,Public w/Aerial Lifts,California Mountain Resort Company,"Indy, Indy+, Powder Alliance, Cali Pass, California Gold Pass",Yes,Yes,Yes,,0,,,,,,,1,1,,,2,,,,,,1,5
,Mt. Baldy,"2,100",800,170,Public w/Aerial Lifts,Independent,California Gold Pass,Yes,Yes,Yes,Yes,0,,,,,,,,,,,4,,,,,,,4
,Mt. Shasta,"2,036",635,250,Public w/Aerial Lifts,Independent,"Indy, Indy+, Powder Alliance, California Gold Pass",Yes,Yes,Yes,,0,,,,,,,,1,3,,,,,,,,2,6
,Northstar,"2,280","3,170",350,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Tahoe Local, Epic Tahoe Value, Epic Day All, Epic Day 32, California Gold Pass",Yes,Yes,Yes,Yes,0,1,1,,,1,1,6,1,2,,,,,,1,1,5,20
,Palisades Tahoe: Olympic ,"2,850","6,000",364,Public w/Aerial Lifts,Alterra ,"Ikon, Ikon Base, Ikon Session, California Gold Pass",Yes,Yes,Yes,Yes,1,2,,,,8,,5,1,10,,8,,,,,,7,42
,Sierra-at-Tahoe,"2,212","2,000",401,Public w/Aerial Lifts,Independent,"Ikon, Ikon Base, Ikon Session, Powder Alliance, California Gold Pass",Yes,Yes,Yes,Yes,0,,,,,,,3,,1,,5,,,,,,5,14
,Snow Summit (Big Bear),"1,200",240,114,Public w/Aerial Lifts,Alterra ,"Ikon, Ikon Base, Ikon Session, California Gold Pass",Yes,Yes,Yes,Yes,0,,,,,,,2,2,2,,4,,,,,,5,15
,Snow Valley,"1,041",240,150,Public w/Aerial Lifts,Alterra ,"Ikon, Ikon Base, Ikon Session, California Gold Pass",Yes,Yes,Yes,,0,,,,,1,,,,4,,4,,,,,,2,11
,Soda Springs,550,200,389,Public w/Aerial Lifts,Powdr,California Gold Pass,Yes,Yes,Yes,Yes,0,,,,,,,,,1,,1,,,,,,1,3
,Sugar Bowl,"1,500","1,650",429,Public w/Aerial Lifts,Independent,"Mountain Collective, California Gold Pass",Yes,Yes,Yes,Yes,0,1,,,,,,5,3,1,,,,,,1,,1,12
,Tahoe Donner,600,120,385,Public w/Aerial Lifts,Independent,California Gold Pass,Yes,Yes,Yes,Yes,0,,,,,,,,1,1,,,,,,,,3,5
U.S. - Colorado,Arapahoe Basin,"1,698","1,428",350,Public w/Aerial Lifts,Alterra ,"Ikon, Ikon Base, Ikon Session, Colorado Gems Pass, Colorado Gems Discount Card, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes,0,,,,,1,,1,3,,,1,,,,,1,2,9
,Aspen Highlands,"3,635","1,010",260,Public w/Aerial Lifts,Aspen Skiing Company,"Ikon, Mountain Collective, Aspen-Snowmass, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes,0,,,,,,,3,,2,,1,,,,,,,6
,Aspen Mountain,"3,317",826,248,Public w/Aerial Lifts,Aspen Skiing Company,"Ikon, Mountain Collective, Aspen-Snowmass, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes,0,1,,,,,,2,1,,1,3,,,,,,,8
,Beaver Creek,"3,340","2,082",323,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Tahoe Local, Epic Day All, Epic School Kids",Yes,Yes,Yes,Yes,0,2,,,,,1,12,1,1,,1,,,,,,7,25
,Breckenridge,"3,240","2,908",355,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Tahoe Local, Epic Summit Value, Epic Keystone Plus, Epic Day All, Epic School Kids",Yes,Yes,Yes,Yes,0,1,,,,5,,8,1,1,,4,,1,,3,,11,35
,Buttermilk,"2,030",435,200,Public w/Aerial Lifts,Aspen Skiing Company,"Ikon, Mountain Collective, Aspen-Snowmass, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes,0,,,,,,,3,,,,1,,,,,1,1,6
,Chapman,319,7,71,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,,,,,,,,,1,1,,2
,Copper Mountain,"2,729","2,538",278,Public w/Aerial Lifts,Powdr,"Ikon, Ikon Base, Ikon Session, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes,0,,,,,3,1,3,,5,,4,,1,,2,1,5,25
,Cranor Hill,305,,75,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,1,,,1
,Crested Butte,"2,775","1,547",236,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Tahoe Local, Epic Keystone Plus, Epic Day All, Epic Day 32, Epic School Kids",Yes,Yes,Yes,Yes,0,,,,,,,4,3,3,,,,2,,,,3,15
