ACTIVE U.S. SKI AREAS - 2025-26,,CORE STATS,,,CLASSIFICATION (Current year totals),,PASS AFFILIATIONS,RECENT OPERATING HISTORY,,,,LIFT FLEETS,,,,,,,,,,,,,,,,,,
,,Avg.,Total,Avg.,Public w/Aerial Lifts Total,370,,Annual Totals,,,,National Totals,,,,,,,,,,,,,,,,,,
,,963,"244,141",164,Public - Surface Lifts Only Total,92,,491,499,509,324,12,50,6,3,5,112,6,382,406,505,2,524,2,91,7,59,389,633,3192
,,,,,Private w/Aerial Lifts Total,19,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Private - Surface Lifts Only Total,22,,,,,,,,,,,,,,,,,,,,,,,,
LOCATION,MOUNTAIN,"Lift-Served Vertical 
Drop (feet)","Lift-Served 
Skiable Acres","Average Annual Snow
(claimed, inches)","OPERATING
CLASS",OWNER,PASS AFFILIATIONS,"OPERATED
23/24?","OPERATED
24/25?","ANTICIPATE
OPERATING
25/26?","CONFIRMED
OPERATING
25/26?",Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,TOTAL LIFTS
,Loon,"2,100",403,160,Public w/Aerial Lifts,Boyne Resorts,"Ikon, Ikon Base, Ikon Session, New England Pass, New England Day, Boyne Passport, Boyne Explorer, Michigan Pass, Ski New Hampshire Kids Passport",Yes,Yes,Yes,Yes,0,1,1,,1,,,3,2,,,4,,,,,,3,15
,McIntyre,170,26,50,Public w/Aerial Lifts,Independent,"Indy, Indy+, Freedom, Ski New Hampshire Kids Passport",Yes,Yes,Yes,Yes,0,,,,,,,,,,,2,,,,,,2,4
,Mount Eustis,240,,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,1,,1
,Mount Sunapee,"1,510",233,130,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Northeast Value, Epic Northeast Midweek, Epic Day All, Epic Day 32, Epic Day 22, Ski New Hampshire Kids Passport",Yes,Yes,Yes,Yes,0,,,,,,,2,1,2,,,,,,,,3,8
,Norm Wright (Dublin School),100,,,Private - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,1,,1
,Pats Peak,770,115,100,Public w/Aerial Lifts,Independent,"Indy, Indy+, Indy Learn-To-Turn, Ski New Hampshire Kids Passport",Yes,Yes,Yes,Yes,0,,,,,,,,1,3,,2,,,1,,2,2,11
,Proctor,436,,,Private - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,1,,,1,,2
,Ragged,"1,250",250,100,Public w/Aerial Lifts,Independent,"Indy, Indy+, Ski New Hampshire Kids Passport",Yes,Yes,Yes,Yes,0,,,,,1,,1,,1,,,,,,,,,3
,Red Hill,181,,,Private - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,1,,1
,Storrs Hill,300,20,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,1,,,1
,Tenney,"1,400",130,140,Public w/Aerial Lifts,Independent,"Indy, Indy+, Uphill New England, Indy Learn-To-Turn, Ski New Hampshire Kids Passport",Yes,Yes,Yes,Yes,0,,,,,,,,,1,,1,,,,1,,2,5
,Veterans Memorial,220,50,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,1,,,1,1,3
,Waterville Valley,"2,020",265,148,Public w/Aerial Lifts,Independent,"Indy, Indy+, Uphill New England, White Mountain Super Pass, Indy Learn-To-Turn, Ski New Hampshire Kids Passport",Yes,Yes,Yes,Yes,0,,,,,1,,1,,2,,2,,2,,,,2,10
,Whaleback Mountain,700,85,110,Public w/Aerial Lifts,Independent,"Indy, Indy+, Uphill New England, Ski New Hampshire Kids Passport",Yes,Yes,Yes,,0,,,,,,,,,,,1,,1,,,1,1,4
,Wildcat,"2,112",225,200,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Northeast Value, Epic Northeast Midweek, Epic Day All, Epic Day 32, Epic Day 22, Ski New Hampshire Kids Passport",Yes,Yes,Yes,Yes,0,,,,,,,1,,3,,,,,,,,1,5
U.S. - New Jersey,Big Snow American Dream,160,4,0,Public w/Aerial Lifts,Snow Partners,"Snow Triple Play, WNEP Ski Card",Yes,Yes,Yes,Yes,0,,,,,,,,1,,,,,,,1,,2,4
,Campgaw,270,18,45,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,2,,,,,,3,5
,Mountain Creek,"1,040",167,65,Public w/Aerial Lifts,Snow Partners,"Snow Triple Play, WNEP Ski Card, Ski New York Kids Passport",Yes,Yes,Yes,Yes,0,,,1,,,,2,2,1,,1,,,,,,2,9
,National Winter Activity Center,620,36,65,Private w/Aerial Lifts,Independent,,Yes,Yes,Yes,,0,,,,,,,,1,1,,,,,,,,1,3
U.S. - New Mexico,Angel Fire Resort,"2,077",560,210,Public w/Aerial Lifts,Independent,"Powder Alliance, Ski New Mexico True Pass",Yes,Yes,Yes,Yes,0,,,,,,,2,1,,,3,,,,,,2,8
,Cloudcroft,700,74,120,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,,,,,1,,,,,2,,3
,Pajarito,"1,440",280,125,Public w/Aerial Lifts,Mountain Capital Partners,"Power Pass Full, Power Pass Select, Power Pass Core, Weekday Power Pass, Ski New Mexico True Pass",Yes,Yes,Yes,,0,,,,,,,,1,1,,3,,,,,,1,6
,Red River,"1,600",285,214,Public w/Aerial Lifts,Independent,"Freedom, Ski New Mexico True Pass",Yes,Yes,Yes,Yes,0,,,,,,,,1,4,,,,,,,2,,7
,Sandia Peak,"1,700",300,117,Public w/Aerial Lifts,Mountain Capital Partners,"Power Pass Full, Power Pass Select, Power Pass Core, Weekday Power Pass, Ski New Mexico True Pass",Yes,Yes,Yes,,1,,,,,,,,,,,3,,,,,1,,5
,Sipapu,"1,055",215,185,Public w/Aerial Lifts,Mountain Capital Partners,"Power Pass Full, Power Pass Select, Power Pass Core, Weekday Power Pass, Ski New Mexico True Pass",Yes,Yes,Yes,Yes,0,,,,,,,,1,2,,1,,,,,,2,6
,Ski Apache,"1,900",750,180,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,Yes,0,1,,,,,,,3,5,,,,,,,2,,11
,Ski Santa Fe,"1,725",660,225,Public w/Aerial Lifts,Independent,Ski New Mexico True Pass,Yes,Yes,Yes,Yes,0,,,,,,,1,1,2,,1,,,,,,2,7
,Taos Ski Valley,"3,100","1,294",300,Public w/Aerial Lifts,Independent,"Ikon, Ikon Base, Ikon Session, Mountain Collective, Ski New Mexico True Pass",Yes,Yes,Yes,Yes,0,,1,,,,,2,2,4,,1,,,,,,3,13
U.S. - New York,Beartown,150,32,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,,,,,,,1,,1,,,2
,Belleayre,"1,404",171,141,Public w/Aerial Lifts,New York State,"NY Ski 3, Snow Triple Play, Ski New York Kids Passport, Ski New York Gold Card",Yes,Yes,Yes,Yes,0,1,,,,,,1,3,,,,,,,,,4,9
,Brantling,250,36,100,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,,,,,,,1,,,5,,6
,Bristol,"1,200",138,130,Public w/Aerial Lifts,Independent,"Ski New York Kids Passport, Ski New York Gold Card",Yes,Yes,Yes,Yes,0,,,,,,,2,1,1,,1,,,,,,2,7
,Buffalo Ski Center,463,175,180,Public w/Aerial Lifts,Independent,"Indy, Indy+, Ski New York Kids Passport, Ski New York Gold Card",Yes,Yes,Yes,Yes,0,,,,,,,,,,,2,,2,,,1,1,6
,Camillus,125,,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,2,,2
,Cazenovia Ski Club,460,25,99,Private - Surface Lifts Only,Independent,"Indy, Indy+",Yes,Yes,Yes,,0,,,,,,,,,,,,,1,,,1,,2
,Chestnut Ridge,48,,,Public - Surface Lifts Only,Erie County Parks,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,1,,1
,Double H Ranch,110,,,Private w/Aerial Lifts,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,1,,,,,,,1
,Dry Hill,300,42,125,Public w/Aerial Lifts,Independent,"Indy, Indy+, Ski New York Kids Passport, Ski New York Gold Card",Yes,Yes,Yes,Yes,0,,,,,,,,,,,1,,1,,,,1,3
,Dynamite Hill,65,8,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,1,,1
,Emery County Park,122,,,Public - Surface Lifts Only,Erie County Parks,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,,1,1
,Gore,"2,562",453,125,Public w/Aerial Lifts,New York State,"NY Ski 3, Snow Triple Play, Ski New York Kids Passport, Ski New York Gold Card",Yes,Yes,Yes,Yes,0,1,,,,,,3,6,1,,,,,1,,,2,14
,Greek Peak,952,300,120,Public w/Aerial Lifts,Independent,"Indy, Indy+, Indy Learn-To-Turn, Ski New York Kids Passport, Ski New York Gold Card",Yes,Yes,Yes,Yes,0,,,,,,,,1,2,,3,,,,,,2,8
,Holiday Mountain,400,37,90,Public w/Aerial Lifts,Independent,"Ski New York Kids Passport, Ski New York Gold Card",Yes,Yes,Yes,,0,,,,,,,,1,1,,,,,,,,1,3
,Holiday Valley,750,290,180,Public w/Aerial Lifts,Independent,"Ski New York Kids Passport, Ski New York Gold Card",Yes,Yes,Yes,Yes,0,,,,,1,,3,7,,,,,,,,,2,13
,Holimont,700,135,180,Private w/Aerial Lifts,Independent,Ski New York Gold Card,Yes,Yes,Yes,,0,,,,,,,1,1,2,,2,,,,,,2,8
,Hunt Hollow,815,80,46,Private w/Aerial Lifts,Independent,"Indy, Indy+, Indy Learn-To-Turn, Ski New York Kids Passport, Ski New York Gold Card",Yes,Yes,Yes,,0,,,,,,,,,1,,1,,1,,,,1,4
,Hunter,"1,600",320,70,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Northeast Value, Epic Northeast Midweek, Epic Day All, Epic Day 32, Ski New York Gold Card",Yes,Yes,Yes,Yes,0,,,,,3,,1,2,1,,2,,,,1,,3,13
,Kissing Bridge,550,,180,Public w/Aerial Lifts,Independent,"Ski New York Kids Passport, Ski New York Gold Card, Snow Triple Play",Yes,Yes,Yes,Yes,0,,,,,,,,2,1,,3,,,,,2,1,9
,Labrador,700,250,125,Public w/Aerial Lifts,Intermountain Management,"Labrador/Song, Ski New York Kids Passport, Ski New York Gold Card",Yes,Yes,Yes,Yes,0,,,,,,,,,1,,2,,1,,,2,,6
,Maple Ski Ridge,270,60,60,Public w/Aerial Lifts,Independent,"Indy, Indy+, Indy Learn-To-Turn, Ski New York Gold Card",Yes,Yes,Yes,Yes,0,,,,,,,,,1,,1,,,,,2,,4
,McCauley,633,75,281,Public w/Aerial Lifts,Independent,"Ski New York Kids Passport, Ski New York Gold Card",Yes,Yes,Yes,Yes,0,,,,,,,,,1,,,,2,,,2,,5
,Mount Peter,280,60,50,Public w/Aerial Lifts,Independent,"Ski New York Kids Passport, Ski New York Gold Card",Yes,Yes,Yes,Yes,0,,,,,,,,1,,,2,,,,,,3,6
,Mount Pisgah,329,15,60,Public - Surface Lifts Only,Independent,Ski New York Kids Passport,Yes,Yes,Yes,Yes,0,,,,,,,,,,,,,1,,,1,,2
,Newcomb,161,,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,1,,,,,1
,Northampton,N/A,,,Public - Surface Lifts Only,Schoonover Family,,Yes,Yes,Yes,Yes,0,,,,,,,,,,,,,,,,1,,1
,Oak Mountain,650,100,120,Public w/Aerial Lifts,Independent,"Snow Triple Play, Ski New York Kids Passport, Ski New York Gold Card",Yes,Yes,Yes,Yes,0,,,,,,,,1,,,,,1,,,,2,4
,Peek’n Peak,400,130,200,Public w/Aerial Lifts,Independent,"Indy, Indy+, Ski New York Kids Passport, Ski New York Gold Card",Yes,Yes,Yes,Yes,0,,,,,,,,,6,,2,,,,,,3,11
,Plattekill,"1,100",119,175,Public w/Aerial Lifts,Independent,"Snow Triple Play, Ski New York Kids Passport, Ski New York Gold Card",Yes,Yes,Yes,Yes,0,,,,,,,,,1,,1,,,,,,1,3
,Powder Mills,N/A,,,Public - Surface Lifts Only,Schoonover Family,,Yes,Yes,Yes,Yes,0,,,,,,,,,,,,,,,,1,,1
,Ridin' Hy Ranch,100,10,98,Private - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,1,,,,,1
,Rocking Horse Ranch,150,10,30,Private - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,,1,1
,Royal Mountain,575,60,90,Public w/Aerial Lifts,Independent,Ski New York Gold Card,Yes,Yes,Yes,Yes,0,,,,,,,,,,,3,,,,,,1,4
,Skaneateles,400,33,100,Public - Surface Lifts Only,Independent,"Indy, Indy+, Ski New York Kids Passport",Yes,Yes,Yes,Yes,0,,,,,,,,,,,,,1,,,2,,3
,Ski Venture,100,,,Private - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,2,,2
,Snow Ridge,500,150,230,Public w/Aerial Lifts,Independent,"Indy, Indy+, Ski New York Kids Passport, Ski New York Gold Card",Yes,Yes,Yes,Yes,0,,,,,,,,,,,3,,1,,,,1,5
,Song Mountain,700,100,125,Public w/Aerial Lifts,Intermountain Management,"Labrador/Song, Ski New York Kids Passport, Ski New York Gold Card",Yes,Yes,Yes,Yes,0,,,,,,,,,2,,2,,,,,,,4
,Swain,650,120,130,Public w/Aerial Lifts,Schoonover Family,"Indy, Indy+, WNEP Ski Card, Ski New York Kids Passport, Ski New York Gold Card, Indy Learn-To-Turn",Yes,Yes,Yes,Yes,0,,,,,,,,3,,,1,,,,,,1,5
,Thunder Ridge,600,100,60,Public w/Aerial Lifts,Independent,"Ski New York Kids Passport, Ski New York Gold Card",Yes,Yes,Yes,,0,,,,,,,,,1,,2,,,,,,5,8
,Titus,"1,200",380,150,Public w/Aerial Lifts,Independent,"Indy, Indy+, Indy Learn-To-Turn, Ski New York Kids Passport, Ski New York Gold Card",Yes,Yes,Yes,Yes,0,,,,,,,,,2,,5,,,,,,1,8
,Val Bialis,150,,,Public - Surface Lifts Only,Independent,,No,Yes,Yes,,0,,,,,,,,,,,,,,,,1,,1
,Victor Constant,475,,39,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,,0,,,,,,,,,1,,,,,,,1,,2
,Villa Roma,190,,,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,1,,,,,,,1
,West Mountain,"1,010",130,80,Public w/Aerial Lifts,Independent,"Indy, Indy+, Ski New York Kids Passport, Ski New York Gold Card",Yes,Yes,Yes,Yes,0,,,,,,,,1,2,,,,,,,1,1,5
,Whiteface,"3,166",299,181,Public w/Aerial Lifts,New York State,"NY Ski 3, Snow Triple Play, Mountain Collective, Ski New York Kids Passport, Ski New York Gold Card",Yes,Yes,Yes,Yes,0,1,,,,,,2,3,1,,2,,,,,,2,11
,Willard,505,85,80,Public w/Aerial Lifts,Independent,Ski New York Gold Card,Yes,Yes,Yes,,0,,,,,,,,,,,2,,,,,2,1,5
,Windham,"1,600",285,105,Public w/Aerial Lifts,Independent,"Ski New York Kids Passport, Ski New York Gold Card",Yes,Yes,Yes,Yes,0,,,,,1,,3,,1,,1,,,,,,5,11
,Woods Valley,500,25,74,Public w/Aerial Lifts,Independent,Ski New York Gold Card,Yes,Yes,Yes,Yes,0,,,,,,,,1,,,2,,,,,,2,5
U.S. - North Carolina,Appalchian Ski Mountain,365,27,27,Public w/Aerial Lifts,Independent,North Carolina Gold Card,Yes,Yes,Yes,Yes,0,,,,,,,,2,,,1,,,,,1,2,6
,Beech Mountain,831,95,84,Public w/Aerial Lifts,Independent,North Carolina Gold Card,Yes,Yes,Yes,Yes,0,,,,,,,,4,,,2,,,,,1,2,9
,Cataloochee,740,50,24,Public w/Aerial Lifts,Independent,"Indy, Indy+, North Carolina Gold Card",Yes,Yes,Yes,Yes,0,,,,,,,,2,1,,,,,,,,2,5
,Hatley Pointe,700,54,65,Public w/Aerial Lifts,Independent,"Indy, Indy+, North Carolina Gold Card",No,Yes,Yes,Yes,0,,,,,,,,2,,,1,,,,,1,2,6
,Sapphire Valley,200,8,24,Public w/Aerial Lifts,Independent,North Carolina Gold Card,Yes,Yes,Yes,Yes,0,,,,,,,,1,,,,,,,,,1,2
,Sugar Mountain,"1,200",115,70,Public w/Aerial Lifts,Independent,North Carolina Gold Card,Yes,Yes,Yes,Yes,0,,,,,1,,2,1,,,2,,,,,,1,7
U.S. - North Dakota,Bottineau Winter Park,200,17,70,Public w/Aerial Lifts,Independent,"Indy, Indy+",Yes,Yes,Yes,Yes,0,,,,,,,,,1,,,,1,,,2,2,6
,Frost Fire,350,30,35,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,,0,,,,,,,,1,,,,,,,,,1,2
,Huff Hills,382,70,55,Public w/Aerial Lifts,Independent,"Indy, Indy+",Yes,Yes,Yes,,0,,,,,,,,,,,2,,,,,2,,4
,Thrill Hills,290,30,35,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,1,,,,,1,,2
U.S. - Ohio,Alpine Valley OH,240,72,120,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Northeast Value, Epic Northeast Midweek, Epic Ohio, Epic Day All, Epic Day 32, Epic Day 22",Yes,Yes,Yes,,0,,,,,,,,2,1,,,,,,,1,1,5
,Big Creek Ski Area,164,,,Private - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,2,,,,,2
,Boston Mills,264,40,54,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Northeast Value, Epic Northeast Midweek, Epic Ohio, Epic Day All, Epic Day 32, Epic Day 22",Yes,Yes,Yes,Yes,0,,,,,,,,1,4,,1,,,,,,1,7
,Brandywine,240,40,54,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Northeast Value, Epic Northeast Midweek, Epic Ohio, Epic Day All, Epic Day 32, Epic Day 22",Yes,Yes,Yes,,0,,,,,,,,3,2,,,,,,,1,1,7
,Mad River,300,144,36,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Northeast Value, Epic Northeast Midweek, Epic Ohio, Epic Day All, Epic Day 32, Epic Day 22",Yes,Yes,Yes,Yes,0,,,,,,,,1,2,,2,,,,,3,1,9
,Snow Trails,301,80,52,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,,,4,,2,,,,,1,2,9
U.S. - Oregon,Anthony Lakes,900,"1,000",250,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,,,1,,,,,,,1,1,3
,Cooper Spur,431,50,250,Public w/Aerial Lifts,Drake Family,"Indy, Indy+",Yes,Yes,Yes,,0,,,,,,,,,,,1,,,,,1,,2
,Ferguson Ridge,640,170,250,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,1,,,1,,2
,Hoodoo,"1,035",800,350,Public w/Aerial Lifts,Independent,"Indy, Indy+",Yes,Yes,Yes,,0,,,,,,,,3,1,,1,,,,,,1,6
,Mount Ashland,"1,106",223,285,Public w/Aerial Lifts,Independent,Freedom,Yes,Yes,Yes,Yes,0,,,,,,,,,3,,2,,,,,,1,6
,Mount Bachelor,"3,365","4,323",387,Public w/Aerial Lifts,Powdr,"Ikon, Ikon Base, Ikon Session",Yes,Yes,Yes,Yes,0,,,,,1,,7,1,3,,,,,,,,3,15
,Mount Hood Meadows,"2,777","2,150",439,Public w/Aerial Lifts,Drake Family,"Indy, Indy+",Yes,Yes,Yes,Yes,0,,,,,1,,5,1,,,3,,,,,,1,11
,Mount Hood Skibowl,"1,377",960,250,Public w/Aerial Lifts,Independent,"Powder Alliance, Mt. Hood Fusion Pass",Yes,Yes,Yes,,0,,,,,,,,,,,4,,,,1,2,2,9
,Timberline Lodge (Inc. Summit),"4,540","1,685",540,Public w/Aerial Lifts,Independent,"Powder Alliance, Mt. Hood Fusion Pass",Yes,Yes,Yes,Yes,0,,,,,,,6,,,,2,,,,,,1,9
,Warner Canyon,780,200,50,Public w/Aerial Lifts,Independent,,No,Yes,Yes,,0,,,,,,,,,1,,,,,,,,,1
,Willamette Pass,"1,563",555,375,Public w/Aerial Lifts,Mountain Capital Partners,"Power Pass Full, Power Pass Select, Power Pass Core, Weekday Power Pass",Yes,Yes,Yes,Yes,0,,,,,1,,,,4,,,,,,,,1,6
U.S. - Pennsylvania,Bear Creek,510,86,30,Public w/Aerial Lifts,Independent,"Indy, Indy+, Pennsylvania Outdoor Adventure Pass",Yes,Yes,Yes,Yes,0,,,,,,,,3,1,,,,,,,,1,5
,Big Boulder,475,55,50,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Northeast Value, Epic Northeast Midweek, Epic Day All, Epic Day 32, Epic Day 22",Yes,Yes,Yes,Yes,0,,,,,,,,2,1,,1,,,,,,1,5
,Blue Knob,"1,072",100,120,Public w/Aerial Lifts,Independent,"Indy, Indy+, Pennsylvania Outdoor Adventure Pass",Yes,Yes,Yes,Yes,0,,,,,,,,,2,,2,,,,,,1,5
,Blue Mountain PA,"1,082",171,33,Public w/Aerial Lifts,Peregrine Hospitality,"Ikon, Ikon Base, Ikon Session, Peak-to-Peak Poconos, Pennsylvania Outdoor Adventure Pass",Yes,Yes,Yes,Yes,0,,,,,2,,1,,1,,1,,,,,,7,12
,Boyce Park,166,25,36,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,,,,,1,,,,,,1,2
,Camelback,827,166,50,Public w/Aerial Lifts,Peregrine Hospitality,"Ikon, Ikon Base, Ikon Session, Peak-to-Peak Poconos, WNEP Ski Card",Yes,Yes,Yes,Yes,0,,,,,1,,1,1,3,,3,,,,,,4,13
,Eagle Rock,550,,,Private w/Aerial Lifts,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,2,,,,,,1,3
,Elk Mountain,925,180,65,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,,1,,,5,,,,,,,6
,Hidden Valley PA,470,110,140,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Northeast Value, Epic Northeast Midweek, Epic Day All, Epic Day 32, Epic Day 22",Yes,Yes,Yes,Yes,0,,,,,,,,2,2,,,,,,,2,2,8
,Jack Frost,600,100,50,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Northeast Value, Epic Northeast Midweek, Epic Day All, Epic Day 32, Epic Day 22",Yes,Yes,Yes,Yes,0,,,,,,,,4,,,2,,,,,,,6
,Laurel,761,70,41,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Northeast Value, Epic Northeast Midweek, Epic Day All, Epic Day 32, Epic Day 22",Yes,Yes,Yes,Yes,0,,,,,,,,1,,,,,,,,1,,2
,Liberty,620,100,31,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Northeast Value, Epic Northeast Midweek, Epic Day All, Epic Day 32, Epic Day 22",Yes,Yes,Yes,Yes,0,,,,,,,,5,,,,,,,,,2,7
,Locust Lake Village,150,,,Private - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,1,,,,,1
,Montage,991,140,47,Public w/Aerial Lifts,Independent,"Indy, Indy+",Yes,Yes,Yes,Yes,0,,,,,,,,1,3,,1,,,,,,1,6
,Mount Pleasant,320,35,150,Public w/Aerial Lifts,Independent,Pennsylvania Outdoor Adventure Pass,Yes,Yes,Yes,Yes,0,,,,,,,,,1,,,,,,1,,1,3
,Roundtop,600,103,30,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Northeast Value, Epic Northeast Midweek, Epic Day All, Epic Day 32, Epic Day 22",Yes,Yes,Yes,Yes,0,,,,,,,,3,2,,,,,1,,,3,9
,Saw Creek,300,,,Private w/Aerial Lifts,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,1,,,,,,,1
,Seven Springs,754,285,135,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Northeast Value, Epic Northeast Midweek, Epic Day All, Epic Day 32, Epic Day 22",Yes,Yes,Yes,Yes,0,,,,,2,,,4,4,,,,,,,1,3,14
,Shawnee Mountain,700,120,50,Public w/Aerial Lifts,Independent,"Indy, Indy+, Pennsylvania Outdoor Adventure Pass",Yes,Yes,Yes,Yes,0,,,,,,,1,1,,,4,,,,,,3,9
,Ski Big Bear,650,26,50,Public w/Aerial Lifts,Independent,"Indy, Indy+, WNEP Ski Card, Indy Learn-To-Turn, Pennsylvania Outdoor Adventure Pass",Yes,Yes,Yes,Yes,0,,,,,,,,,,,4,,,,,,3,7
,Ski Sawmill,515,15,24,Public w/Aerial Lifts,Independent,"Indy, Indy+, WNEP Ski Card",Yes,Yes,Yes,Yes,0,,,,,,,,,1,,1,,2,,,,,4
,Spring Mountain,420,45,27,Public w/Aerial Lifts,Independent,Pennsylvania Outdoor Adventure Pass,Yes,Yes,Yes,Yes,0,,,,,,,,,1,,3,,,,,1,1,6
,The Hideout,131,,,Private w/Aerial Lifts,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,1,,,,,,1,2
,The Peak at Nemacolin,300,25,31,Private w/Aerial Lifts,Independent,,Yes,Yes,Yes,,0,,,,,,,,1,,,,,,,,1,,2
,Tussey,500,38,41,Public w/Aerial Lifts,Independent,"Indy, Indy+",Yes,Yes,Yes,Yes,0,,,,,,,,1,,,1,,1,,,,,3
,Whitetail,935,109,40,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Northeast Value, Epic Northeast Midweek, Epic Day All, Epic Day 32, Epic Day 22",Yes,Yes,Yes,Yes,0,,,,,,,1,3,,,1,,,,,,2,7
U.S. - Rhode Island,Yawgoo,240,36,39,Public w/Aerial Lifts,Independent,Freedom,Yes,Yes,Yes,Yes,0,,,,,,,,,,,2,,,,,1,,3
U.S. - South Dakota,Deer Mountain,800,,,Private w/Aerial Lifts,Independent,,Yes,Yes,Yes,,0,,,,,,,,,1,,1,,,,,,,2
,Great Bear,182,21,41,Public w/Aerial Lifts,Independent,"Indy, Indy+",Yes,Yes,Yes,Yes,0,,,,,,,,1,,,,,,,,1,1,3
,Terry Peak,"1,200",450,150,Public w/Aerial Lifts,Independent,"Indy, Indy+",Yes,Yes,Yes,Yes,0,,,,,,,3,,1,,,,,,,,1,5
U.S. - Tennessee,Ober Mountain,526,38,35,Public w/Aerial Lifts,Independent,"Indy, Indy+",Yes,Yes,Yes,,1,,,,,,,,3,,,,,,,,,2,6
U.S. - Utah,Alta,"2,538","2,614",526,Public w/Aerial Lifts,Independent,"Ikon, Mountain Collective, Altabird Pass, Ski Utah Yeti Pass, Ski Utah Kids Passport, Ski Utah Gold Pass",Yes,Yes,Yes,Yes,0,,,,,1,,3,1,1,,1,,,,1,1,2,11
,Beaver Mountain,"1,700",880,300,Public w/Aerial Lifts,Independent,"Indy, Indy+, Ski Utah Yeti Pass, Ski Utah Kids Passport, Ski Utah Gold Pass",Yes,Yes,Yes,,0,,,,,,,,,3,,1,,,,,,2,6
,Brian Head,"1,320",650,301,Public w/Aerial Lifts,Mountain Capital Partners,"Power Pass Full, Power Pass Select, Power Pass Core, Weekday Power Pass, Ski Utah Yeti Pass, Ski Utah Kids Passport, Ski Utah Gold Pass",Yes,Yes,Yes,Yes,0,,,,,,,2,,5,,1,,,,,,2,10
