country,state,resort_name,vertical_drop_ft,skiable_acres,avg_annual_snow_in,operating_class,owner,pass_affiliations,operated_2324,operated_2425,anticipated_2526,confirmed_2526
USA,Colorado,Buttermilk,2030,435,200,Public w/Aerial Lifts,Aspen Skiing Company,"Ikon, Mountain Collective, Aspen-Snowmass, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes
USA,Colorado,Chapman,319,7,71,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,Yes
USA,Colorado,Copper Mountain,2729,2538,278,Public w/Aerial Lifts,Powdr,"Ikon, Ikon Base, Ikon Session, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes
USA,Colorado,Cranor Hill,305,,75,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,
USA,Colorado,Crested Butte,2775,1547,236,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Tahoe Local, Epic Keystone Plus, Epic Day All, Epic Day 32, Epic School Kids",Yes,Yes,Yes,Yes
USA,Colorado,Cuchara,266,43,200,"Public w/Aerial Lifts, On Status Watch",,"Indy, Indy+",w/o Lifts,w/o Lifts,Yes,
USA,Colorado,Echo Mountain,600,60,150,Public w/Aerial Lifts,Independent,"Indy, Indy+, Colorado Gems Pass, Colorado Gems Discount Card, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,
USA,Colorado,Eldora,1240,680,225,Public w/Aerial Lifts,Independent,"Ikon, Ikon Base, Ikon Session, Colorado Gems Pass, Colorado Gems Discount Card, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes
USA,Colorado,Frisco,N/A,,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,
USA,Colorado,Granby Ranch,1000,406,200,Public w/Aerial Lifts,Independent,"Indy, Indy+, Colorado Gems Pass, Colorado Gems Discount Card, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes
USA,Colorado,Hoedown Hill,130,12,24,Public - Surface Lifts Only,Independent,"Indy, Indy+",Yes,Yes,Yes,Yes
USA,Colorado,Howelsen Hill,440,50,170,Public w/Aerial Lifts,Independent,"Indy, Indy+, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes
USA,Colorado,Kendall Mountain,240,16,200,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,
USA,Colorado,Keystone,2920,3149,235,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Tahoe Local, Epic Summit Value, Epic Keystone Plus, Epic Day All, Epic Day 32, Epic School Kids",Yes,Yes,Yes,Yes
USA,Colorado,Lake City,250,14,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,
USA,Colorado,Lee's,75,2,134,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,
USA,Colorado,Loveland Basin,1890,1800,337,Public w/Aerial Lifts,Independent,"Indy, Indy+, Powder Alliance, Power Pass Full, Colorado Gems Pass, Colorado Gems Discount Card, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes
USA,Colorado,Loveland Valley,810,,,Public w/Aerial Lifts,Independent,"Indy, Indy+, Powder Alliance, Power Pass Full, Colorado Gems Pass, Colorado Gems Discount Card, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes
USA,Colorado,Monarch,1162,1177,308,Public w/Aerial Lifts,Independent,"Power Pass Full, Power Pass Select, Power Pass Core, Colorado Gems Pass, Colorado Gems Discount Card, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes
USA,Colorado,Powderhorn,1650,1600,225,Public w/Aerial Lifts,Pacific Group Resorts,"Indy, Indy+, Colorado Gems Pass, Colorado Gems Discount Card, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes
USA,Colorado,Purgatory,2029,1635,261,Public w/Aerial Lifts,Mountain Capital Partners,"Power Pass Full, Power Pass Select, Power Pass Core, Weekday Power Pass, Colorado Gems Pass, Colorado Gems Discount Card, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes
USA,Colorado,Silverton (unguided),1900,1819,294,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,
USA,Colorado,Ski Cooper,1200,480,260,Public w/Aerial Lifts,Independent,"Powder Alliance, Freedom, Colorado Gems Pass, Colorado Gems Discount Card, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes
USA,Colorado,Snowmass,4400,3342,301,Public w/Aerial Lifts,Aspen Skiing Company,"Ikon, Mountain Collective, Aspen-Snowmass, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes
USA,Colorado,Steamboat,3668,3741,370,Public w/Aerial Lifts,Alterra,"Ikon, Ikon Base, Ikon Session, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes
USA,Colorado,Sunlight,2010,730,227,Public w/Aerial Lifts,Independent,"Indy, Indy+, Colorado Gems Pass, Colorado Gems Discount Card, Ski Colorado Kids Passport, Colorado Gold Pass, Indy Learn-To-Turn",Yes,Yes,Yes,Yes
USA,Colorado,Telluride,3790,2000,276,Public w/Aerial Lifts,Independent,"Epic, Epic Day All, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes
USA,Colorado,Vail Mountain,3450,5317,354,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Tahoe Local, Epic Day All, Epic School Kids",Yes,Yes,Yes,Yes
USA,Colorado,Winter Park,3060,3081,349,Public w/Aerial Lifts,Alterra,"Ikon, Ikon Base, Ikon Session, Ski Colorado Kids Passport, Colorado Gold Pass",Yes,Yes,Yes,Yes
USA,Colorado,Wolf Creek,1604,1600,384,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,Yes
USA,Connecticut,Lakeridge,163,,,Private w/Aerial Lifts,Independent,,Yes,Yes,Yes,
USA,Connecticut,Mohawk Mountain,650,107,92,Public w/Aerial Lifts,Independent,"Indy, Indy+",Yes,Yes,Yes,Yes
USA,Connecticut,Mount Southington,354,51,40,Public w/Aerial Lifts,Independent,"Freedom, Snow Triple Play",Yes,Yes,Yes,
USA,Connecticut,Powder Ridge,550,80,38,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,
USA,Connecticut,Ski Sundown,625,65,45,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,Yes
USA,Idaho,Bald Mountain,684,140,200,Public - Surface Lifts Only,Independent,Ski Idaho Kids Passport,Yes,Yes,Yes,
USA,Idaho,Bogus Basin,1800,2600,248,Public w/Aerial Lifts,Independent,"Powder Alliance, Freedom, Ski Idaho Kids Passport",Yes,Yes,Yes,Yes
USA,Idaho,Brundage,1921,1920,297,Public w/Aerial Lifts,Independent,"Indy, Indy+, Ski Idaho Kids Passport",Yes,Yes,Yes,Yes
USA,Idaho,Chipmunk Hills,301,30,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,
USA,Idaho,Cottonwood Butte,640,260,45,Public - Surface Lifts Only,Independent,Ski Idaho Kids Passport,Yes,Yes,Yes,
USA,Idaho,Gateway Parks: Eagle Island,N/A,,,Public - Surface Lifts Only,Gateway,,Yes,Yes,Yes,
USA,Idaho,Gateway Parks: Idaho Falls,N/A,,,Public - Surface Lifts Only,Gateway,,Yes,Yes,Yes,
USA,Idaho,Kelly Canyon,1200,640,250,Public w/Aerial Lifts,Independent,"Indy, Indy+, Indy Learn-To-Turn",Yes,Yes,Yes,Yes
USA,Idaho,Little Ski Hill,393,40,150,Public - Surface Lifts Only,Independent,"Indy, Indy+, Ski Idaho Kids Passport",Yes,Yes,Yes,
USA,Idaho,Lookout Pass,1650,1023,415,Public w/Aerial Lifts,Independent,Ski Idaho Kids Passport,Yes,Yes,Yes,Yes
USA,Idaho,Magic Mountain,740,120,230,Public w/Aerial Lifts,Independent,"Indy, Indy+, Ski Idaho Kids Passport",Yes,Yes,Yes,
USA,Idaho,Pebble Creek,2200,1100,225,Public w/Aerial Lifts,Independent,Ski Idaho Kids Passport,Yes,Yes,Yes,
USA,Idaho,Pomerelle,1002,500,325,Public w/Aerial Lifts,Independent,"Indy, Indy+, Ski Idaho Kids Passport",Yes,Yes,Yes,
USA,Idaho,Rotarun,485,,100,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,
USA,Idaho,Schweitzer,2429,2900,271,Public w/Aerial Lifts,Alterra,"Ikon, Ikon Base, Ikon Session, Ski Idaho Kids Passport",Yes,Yes,Yes,Yes
USA,Idaho,Silver Mountain,2200,1600,328,Public w/Aerial Lifts,CMR Lands,"Indy, Indy+, Powder Alliance, Silver/49 North, Ski Idaho Kids Passport",Yes,Yes,Yes,Yes
USA,Idaho,Snowhaven,400,40,60,Public - Surface Lifts Only,Independent,Ski Idaho Kids Passport,Yes,Yes,Yes,
USA,Idaho,Soldier Mountain,1421,1142,175,Public w/Aerial Lifts,Independent,"Indy, Indy+, Indy Learn-To-Turn, Ski Idaho Kids Passport",Yes,Yes,Yes,
USA,Idaho,Sun Valley: Bald,3400,2533,193,Public w/Aerial Lifts,Holding Family,"Ikon, Mountain Collective, Ski Idaho Kids Passport",Yes,Yes,Yes,Yes
USA,Idaho,Sun Valley: Dollar,628,296,,Public w/Aerial Lifts,Holding Family,"Ikon, Mountain Collective, Ski Idaho Kids Passport",Yes,Yes,Yes,
USA,Idaho,Tamarack,2800,1100,275,Public w/Aerial Lifts,Independent,"Indy, Indy+, Ski Idaho Kids Passport",Yes,Yes,Yes,
USA,Illinois,Alpine Hills Adventure Park,N/A,,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,
USA,Illinois,Chestnut,475,220,34,Public w/Aerial Lifts,Independent,"Indy, Indy+, Indy Learn-To-Turn",Yes,Yes,Yes,Yes
USA,Illinois,Fourlakes,100,9,24,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,Yes
USA,Illinois,Snowstar,262,28,39,Public w/Aerial Lifts,Independent,"Indy, Indy+",Yes,Yes,Yes,Yes
USA,Illinois,Villa Olivia,180,15,25,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,Yes
